1,0 2 3 1
2,0 1 2
3,0 2 1 3
4,0 1 3 2 4
5,0 2 3 1 5
6,0 2 4 5 6 7
7,0 1 5 6 7 8
8,0 2 4 8 9
9,0 2 4 6 9 10
10,0 1 5 6 7 11
11,1 0 2
12,1 2 3
13,1 2 4 6 5 8
14,1 5 4 8 9
15,1 5 4 8 9 10
16,1 5 6 7 11
17,2 3 1
18,2 4 5 1 3
19,2 4 8 7 6
20,2 4 5 6 7
21,2 1 5 8 7 6 9
22,3 1 5 4 2
23,3 1 2 4
24,3 2 4 6
25,3 2 4 8 7
26,3 2 0 1 5 8
27,3 1 5 4 8 9 10
28,4 5 1 0
29,4 5 1 3 2
30,4 5 1 3
31,4 8 5
32,4 5 8 9 6
33,4 5 8 9
34,4 8 5 6 9 10
35,4 5 6 7 11
36,5 4 2 0
37,5 6 4 2 1
38,5 8 4 2
39,5 4 2 1 3
40,5 8 4
41,5 4 8 7 6
42,5 6 7
43,5 4 8 9
44,5 6 7 8 9 10
45,5 6 7 11
46,6 9 8 4 5 1 0
47,6 7 8 4 2
48,6 5 4 2 3
49,6 9 8 4
50,6 4 8 5
51,6 7 8
52,7 8 5 6 4 2 0
53,7 8 4 2 1
54,7 6 4 2
55,7 6 4 2 3
56,7 8 5 6 4
57,7 8 4 5
58,7 11 10 9 8 4 6
59,7 6 9
60,7 8 9 10
61,8 7 6 4 5 1 0
62,8 5 1 0 2
63,8 9 6 5 4 2 3
64,8 9 6 4
65,8 5 6
66,8 9 6 7
67,8 7 11 10 9
68,8 7 11 10
69,9 8 5 1 0
70,9 6 4 2 3 1
71,9 6 5 4
72,9 6 5
73,9 6 7
74,9 6 5 8
75,10 9 6 5 1 0
76,10 11 7 6 5 1
77,10 9 6 5 8 4 2
78,10 9 8 5 1 3
79,10 9 6 4 8 5
80,10 9 8 4 6
81,10 9 6 7
82,10 9 6 4 8
83,10 11 7 8 9
84,10 9 8 7 11
85,11 7 6 5 1 0
86,11 7 6 4 5 1
87,11 7 6 4 2
88,11 10 9 6 4 2 3
89,11 7 6 4
90,11 7 6 5
91,11 7 8 5 6
92,11 10 9 6 7
93,11 10 9 8
