1,330
2,590
3,333
4,460
5,397
6,421
7,431
8,468
9,462
10,431
11,456
12,484
13,479
14,395
15,566
16,523
17,575
18,509
19,457
20,333
21,449
22,545
23,458
24,443
25,575
26,559
27,436
28,502
29,435
30,346
31,496
32,416
33,549
34,380
35,539
36,408
37,542
38,451
39,342
40,584
41,402
42,408
43,415
44,406
45,581
46,378
47,463
48,327
49,501
50,429
51,362
52,439
53,354
54,466
55,384
56,479
57,500
58,587
59,586
60,396
61,358
62,357
63,310
64,430
65,430
66,498
67,459
68,394
69,308
70,385
71,387
72,315
73,413
74,407
75,495
76,570
77,476
78,504
79,525
80,470
81,335
82,474
83,397
84,564
85,580
86,545
87,456
88,537
89,366
90,417
91,600
92,598
93,422
94,461
95,490
96,469
97,591
98,391
99,517
100,591
101,377
